Removed Pin From Net: NetName=LA Pin=C1-1
Removed Pin From Net: NetName=RA Pin=C2-1
Removed Pin From Net: NetName=+5 Pin=C3-1
Removed Pin From Net: NetName=GND Pin=R1-1
Removed Pin From Net: NetName=LA Pin=R1-2
Removed Pin From Net: NetName=GND Pin=R2-1
Removed Pin From Net: NetName=RA Pin=R2-2
Removed Pin From Net: NetName=NetR3_1 Pin=R3-1
Removed Pin From Net: NetName=RLD Pin=R4-2
Removed Pin From Net: NetName=GND Pin=R5-1
Removed Pin From Net: NetName=NetR3_1 Pin=R6-1
Removed Pin From Net: NetName=LA Pin=U1-2
Removed Pin From Net: NetName=RA Pin=U1-3
Change Component Footprint: Designator=J1 Old Footprint=FP-M22-2510305-MFG New Footprint=SWITCHCRAFT_35RAPC4BH3
Change Component Footprint: Designator=C8 Old Footprint=KEMT-1206-2_M New Footprint=VISH-TR8-M_L
Change Component Footprint: Designator=R1 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R2 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R3 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R4 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R5 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R6 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R7 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Footprint: Designator=R8 Old Footprint=RESC3216X60X45ML10T20 New Footprint=FP-ERA6A-IPC_C
Change Component Comment : Designator=C8 Old Comment=C1206C104K5RACTU New Comment=TR8M106M010C2000
Change Component Comment : Designator=R1 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R2 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R3 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R4 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R5 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R6 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R7 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=R8 Old Comment=CRCW1206470RFKEA New Comment=ERA6AEB102V
Change Component Comment : Designator=J1 Old Comment=M22-2510305 New Comment=3.5mm header
Change Component Designator: OldDesignator=C4 NewDesignator=C9
Change Component Designator: OldDesignator=C5 NewDesignator=C6
Change Component Designator: OldDesignator=C6 NewDesignator=C5
Change Component Designator: OldDesignator=C7 NewDesignator=C10
Change Component Designator: OldDesignator=C9 NewDesignator=C7
Change Component Designator: OldDesignator=C10 NewDesignator=C11
Change Managed Component Library Link : Designator=C8 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=845961A1-FC00-4D8B-8D00-E13A395F9C9C New ItemGUID=AABD9198-7064-4B21-8A6F-CFB2508A0683 Old RevisionGUID=ADE4E987-8A9C-447E-A0AC-ED7F1669DD54 New RevisionGUID=5F75CA00-5564-491C-8766-AE706C525318
Change Managed Component Library Link : Designator=R1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R7 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=R8 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C893B1B8-0814-46C1-A6E5-9B40B1C6CEB4 New ItemGUID=07951794-2528-4BBD-8FD7-F47BBECFC269 Old RevisionGUID=A3CCFB03-0213-4EA9-A5AE-6E78AFE240B5 New RevisionGUID=7D20147C-DAFD-44B7-97A5-C3955CE76885
Change Managed Component Library Link : Designator=J1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=69DAB644-56A8-427B-8442-ABC800DA9382 New ItemGUID= Old RevisionGUID=A531DF0E-CA87-494E-8AEC-9C2E76F6C31F New RevisionGUID=
Change component parameters: Designator = "C8" ("C8"); Footprint = "KEMT-1206-2_M"; UniqueID = "\KKNZOVKW" ("\KKNZOVKW")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "TR8SeriesTR8SeriesBottom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://www.vishay.com/docs/40114/tr8.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "03/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "2Ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "TantalumCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Featured Product"; Value = "TR8SeriesMoldedMicroTan™TantalumChipCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.035"(0.89mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp."; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Size Code"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.vishay.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "MICROTAN®TR8Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C~125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "718-1673-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603(1608Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.85 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "TR8-M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "MICROTAN®TR8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063"Lx0.033"W(1.60mmx0.85mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters: Designator = "J1" ("J1"); Footprint = "FP-M22-2510305-MFG"; UniqueID = "\YADWYMNV" ("\YADWYMNV")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "35RAPC4BH3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RESC3216X60X45ML10T20"; UniqueID = "\KDTRUGSE" ("\KDTRUGSE")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1kR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "ERA-6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "THIN FILM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "25ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Voltage"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RESC3216X60X45ML10T20"; UniqueID = "\MSXRWQHT" ("\MSXRWQHT")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
